rdate	cpi
1996.01	53.289
1996.02	53.499
1996.03	53.862
1996.04	54.226
1996.05	54.538
1996.06	54.538
1996.07	54.798
1996.08	55.057
1996.09	55.162
1996.10	55.162
1996.11	55.162
1996.12	55.369
1997.01	55.786
1997.02	56.097
1997.03	56.305
1997.04	56.565
1997.05	56.617
1997.06	56.721
1997.07	56.825
1997.08	57.24
1997.09	57.502
1997.10	57.502
1997.11	57.553
1997.12	59.009
1998.01	60.413
1998.02	61.453
1998.03	61.349
1998.04	61.557
1998.05	61.245
1998.06	60.985
1998.07	60.985
1998.08	61.192
1998.09	61.453
1998.10	61.66
1998.11	61.453
1998.12	61.349
1999.01	61.297
1999.02	61.557
1999.03	61.66
1999.04	61.816
1999.05	61.712
1999.06	61.349
1999.07	61.14
1999.08	61.765
1999.09	61.921
1999.10	62.389
1999.11	62.284
1999.12	62.18
2000.01	62.456
2000.02	62.647
2000.03	62.962
2000.04	62.709
2000.05	62.393
2000.06	62.709
2000.07	62.962
2000.08	63.277
2000.09	64.098
2000.10	64.035
2000.11	63.656
2000.12	63.908
2001.01	64.604
2001.02	64.919
2001.03	65.488
2001.04	65.74
2001.05	65.677
2001.06	65.866
2001.07	65.992
2001.08	66.245
2001.09	66.182
2001.10	66.182
2001.11	65.804
2001.12	65.93
2002.01	66.308
2002.02	66.624
2002.03	67.003
2002.04	67.382
2002.05	67.634
2002.06	67.571
2002.07	67.382
2002.08	67.824
2002.09	68.204
2002.10	68.013
2002.11	68.077
2002.12	68.391
2003.01	68.835
2003.02	69.213
2003.03	70.034
2003.04	69.908
2003.05	69.782
2003.06	69.592
2003.07	69.53
2003.08	69.845
2003.09	70.477
2003.10	70.539
2003.11	70.413
2003.12	70.73
2004.01	71.172
2004.02	71.487
2004.03	72.181
2004.04	72.181
2004.05	72.119
2004.06	72.119
2004.07	72.561
2004.08	73.191
2004.09	73.191
2004.10	73.191
2004.11	72.75
2004.12	72.877
2005.01	73.594
2005.02	73.892
2005.03	74.338
2005.04	74.413
2005.05	74.338
2005.06	74.114
2005.07	74.413
2005.08	74.636
2005.09	75.008
2005.10	74.859
2005.11	74.561
2005.12	74.785
2006.01	75.231
2006.02	75.381
2006.03	75.827
2006.04	75.902
2006.05	76.05
2006.06	75.902
2006.07	76.199
2006.08	76.645
2006.09	76.868
2006.10	76.496
2006.11	76.125
2006.12	76.348
2007.01	76.496
2007.02	77.017
2007.03	77.464
2007.04	77.761
2007.05	77.836
2007.06	77.836
2007.07	78.134
2007.08	78.208
2007.09	78.655
2007.10	78.803
2007.11	78.803
2007.12	79.101
2008.01	79.472
2008.02	79.771
2008.03	80.515
2008.04	80.962
2008.05	81.63
2008.06	82.151
2008.07	82.747
2008.08	82.598
2008.09	82.673
2008.10	82.598
2008.11	82.375
2008.12	82.375
2009.01	82.45
2009.02	83.045
2009.03	83.64
2009.04	83.862
2009.05	83.862
2009.06	83.788
2009.07	84.086
2009.08	84.384
2009.09	84.459
2009.10	84.235
2009.11	84.384
2009.12	84.682
2010.01	85.351
2010.02	85.523
2010.03	85.696
2010.04	86.041
2010.05	86.128
2010.06	86.041
2010.07	86.214
2010.08	86.647
2010.09	87.337
2010.10	87.337
2010.11	86.906
2010.12	87.251
2011.01	88.288
2011.02	88.892
2011.03	89.238
2011.04	89.325
2011.05	89.497
2011.06	89.67
2011.07	90.102
2011.08	90.707
2011.09	90.62
2011.10	90.448
2011.11	90.534
2011.12	90.879
2012.01	91.242
2012.02	91.588
2012.03	91.614
2012.04	91.605
2012.05	91.769
2012.06	91.639
2012.07	91.432
2012.08	91.855
2012.09	92.512
2012.10	92.339
2012.11	92.011
2012.12	92.175
2013.01	92.728
2013.02	93.038
2013.03	92.952
2013.04	92.823
2013.05	92.823
2013.06	92.71
2013.07	92.909
2013.08	93.238
2013.09	93.419
2013.10	93.134
2013.11	93.116
2013.12	93.229
2014.01	93.73
2014.02	93.98
2014.03	94.153
2014.04	94.214
2014.05	94.369
2014.06	94.248
2014.07	94.386
2014.08	94.551
2014.09	94.49
2014.10	94.205
2014.11	94.015
2014.12	94.006
2015.01	94.643
2015.02	94.587
2015.03	94.596
2015.04	94.625
2015.05	94.89
2015.06	94.909
2015.07	95.08
2015.08	95.213
2015.09	94.966
2015.10	94.966
2015.11	94.786
2015.12	95.07
2016.01	95.232
2016.02	95.64
2016.03	95.393
2016.04	95.573
2016.05	95.63
2016.06	95.611
2016.07	95.431
2016.08	95.677
2016.09	96.247
2016.10	96.379
2016.11	96.237
2016.12	96.342
2017.01	97.366
2017.02	97.632
2017.03	97.565
2017.04	97.442
2017.05	97.546
2017.06	97.338
2017.07	97.499
2017.08	98.058
2017.09	98.172
2017.10	98.077
2017.11	97.347
2017.12	97.698
2018.01	98.106
2018.02	98.855
2018.03	98.751
2018.04	98.931
2018.05	98.979
2018.06	98.779
2018.07	98.59
2018.08	99.462
2018.09	100.221
2018.10	100.041
2018.11	99.33
2018.12	98.988
2019.01	98.884
2019.02	99.311
2019.03	99.121
2019.04	99.481
2019.05	99.652
2019.06	99.491
2019.07	99.187
2019.08	99.425
2019.09	99.794
2019.10	100.041
2019.11	99.481
2019.12	99.719
2020.01	100.09
2020.02	100.16
2020.03	99.94
2020.04	99.5
2020.05	99.44
2020.06	99.71
2020.07	99.63
2020.08	100.19
2020.09	100.74
2020.10	100.18
2020.11	100.09
2020.12	100.33
2021.01	101.04
2021.02	101.58
2021.03	101.84
2021.04	101.98
2021.05	102.05
2021.06	102.05
2021.07	102.26
2021.08	102.75
2021.09	103.17
2021.10	103.35
2021.11	103.87
2021.12	104.04