"날짜","종가","시가","고가","저가","변동 %"
"2023- 05- 01","3.335","3.370","3.417","3.324","-1.04%"
"2023- 04- 01","3.370","3.395","3.424","3.167","0.12%"
"2023- 03- 01","3.366","3.669","3.795","3.179","-7.37%"
"2023- 02- 01","3.634","3.297","3.636","3.175","9.13%"
"2023- 01- 01","3.330","3.725","3.757","3.194","-9.51%"
"2022- 12- 01","3.680","3.684","3.724","3.368","-0.81%"
"2022- 11- 01","3.710","4.142","4.232","3.650","-10.82%"
"2022- 10- 01","4.160","3.916","4.546","3.855","4.92%"
"2022- 09- 01","3.965","3.671","4.267","3.490","8.90%"
"2022- 08- 01","3.641","3.170","3.670","3.092","17.26%"
"2022- 07- 01","3.105","3.509","3.509","3.056","-13.44%"
"2022- 06- 01","3.587","3.290","3.758","3.269","11.09%"
"2022- 05- 01","3.229","3.360","3.426","3.144","-0.09%"
"2022- 04- 01","3.232","2.945","3.392","2.920","9.41%"
"2022- 03- 01","2.954","2.661","3.044","2.635","9.61%"
"2022- 02- 01","2.695","2.580","2.771","2.570","3.89%"
"2022- 01- 01","2.594","2.356","2.608","2.355","11.14%"
"2021- 12- 01","2.334","2.266","2.345","2.167","2.46%"
"2021- 11- 01","2.278","2.533","2.535","2.243","-9.60%"
"2021- 10- 01","2.520","2.221","2.528","2.206","12.25%"
"2021- 09- 01","2.245","1.987","2.263","1.981","13.38%"
"2021- 08- 01","1.980","1.985","2.015","1.925","1.38%"
"2021- 07- 01","1.953","2.194","2.194","1.936","-11.19%"
"2021- 06- 01","2.199","2.289","2.297","1.980","-4.14%"
"2021- 05- 01","2.294","2.263","2.308","2.223","1.91%"
"2021- 04- 01","2.251","2.177","2.264","2.039","3.78%"
"2021- 03- 01","2.169","2.042","2.215","2.024","6.12%"
"2021- 02- 01","2.044","1.903","2.077","1.903","7.64%"
"2021- 01- 01","1.899","1.833","1.914","1.788","3.66%"
"2020- 12- 01","1.832","1.738","1.836","1.719","5.83%"
"2020- 11- 01","1.731","1.670","1.752","1.668","5.42%"
"2020- 10- 01","1.642","1.574","1.679","1.574","4.99%"
"2020- 09- 01","1.564","1.678","1.736","1.550","-6.01%"
"2020- 08- 01","1.664","1.497","1.676","1.496","11.38%"
"2020- 07- 01","1.494","1.570","1.610","1.467","-5.08%"
"2020- 06- 01","1.574","1.515","1.586","1.480","4.93%"
"2020- 05- 01","1.500","1.637","1.638","1.376","-8.20%"
"2020- 04- 01","1.634","1.656","1.705","1.497","-2.27%"
"2020- 03- 01","1.672","1.353","1.815","1.299","20.63%"
"2020- 02- 01","1.386","1.565","1.681","1.386","-12.67%"
"2020- 01- 01","1.587","1.729","1.771","1.548","-6.76%"
"2019- 12- 01","1.702","1.611","1.706","1.554","6.84%"
"2019- 11- 01","1.593","1.686","1.866","1.572","-5.68%"
"2019- 10- 01","1.689","1.424","1.791","1.364","18.03%"
"2019- 09- 01","1.431","1.286","1.459","1.284","12.68%"
"2019- 08- 01","1.270","1.392","1.392","1.125","-8.24%"
"2019- 07- 01","1.384","1.646","1.646","1.377","-15.04%"
"2019- 06- 01","1.629","1.712","1.737","1.577","-5.01%"
"2019- 05- 01","1.715","1.889","1.937","1.715","-8.39%"
"2019- 04- 01","1.872","1.875","1.970","1.869","0.65%"
"2019- 03- 01","1.860","2.101","2.118","1.814","-10.10%"
"2019- 02- 01","2.069","2.048","2.087","2.008","0.88%"
"2019- 01- 01","2.051","1.968","2.110","1.937","3.69%"
"2018- 12- 01","1.978","2.061","2.074","1.895","-3.37%"
"2018- 11- 01","2.047","2.199","2.251","2.024","-6.40%"
"2018- 10- 01","2.187","2.346","2.432","2.135","-6.34%"
"2018- 09- 01","2.335","2.271","2.423","2.171","2.41%"
"2018- 08- 01","2.280","2.534","2.583","2.280","-9.77%"
"2018- 07- 01","2.527","2.561","2.583","2.472","-1.33%"
"2018- 06- 01","2.561","2.690","2.740","2.546","-4.94%"
"2018- 05- 01","2.694","2.745","2.815","2.671","-0.92%"
"2018- 04- 01","2.719","2.643","2.760","2.589","3.15%"
"2018- 03- 01","2.636","2.731","2.775","2.626","-3.80%"
"2018- 02- 01","2.740","2.727","2.813","2.684","0.92%"
"2018- 01- 01","2.715","2.453","2.760","2.451","10.82%"
"2017- 12- 01","2.450","2.447","2.486","2.398","0.91%"
"2017- 11- 01","2.428","2.553","2.625","2.420","-5.19%"
"2017- 10- 01","2.561","2.371","2.561","2.363","7.79%"
"2017- 09- 01","2.376","2.335","2.430","2.248","1.80%"
"2017- 08- 01","2.334","2.323","2.439","2.316","1.61%"
"2017- 07- 01","2.297","2.327","2.405","2.261","-0.56%"
"2017- 06- 01","2.310","2.365","2.368","2.185","-1.91%"
"2017- 05- 01","2.355","2.351","2.435","2.337","1.25%"
"2017- 04- 01","2.326","2.346","2.373","2.240","0.22%"
"2017- 03- 01","2.321","2.299","2.410","2.202","3.89%"
"2017- 02- 01","2.234","2.225","2.310","2.139","1.32%"
"2017- 01- 01","2.205","2.135","2.245","2.108","2.04%"
"2016- 12- 01","2.161","2.253","2.290","2.105","0.37%"
"2016- 11- 01","2.153","1.773","2.284","1.700","23.24%"
"2016- 10- 01","1.747","1.495","1.790","1.483","21.74%"
"2016- 09- 01","1.435","1.522","1.645","1.425","-6.51%"
"2016- 08- 01","1.535","1.438","1.549","1.434","4.99%"
"2016- 07- 01","1.462","1.542","1.553","1.427","-6.10%"
"2016- 06- 01","1.557","1.858","1.862","1.538","-18.14%"
"2016- 05- 01","1.902","1.896","1.927","1.862","1.01%"
"2016- 04- 01","1.883","1.883","1.960","1.853","0.00%"
"2016- 03- 01","1.883","1.893","1.988","1.856","0.97%"
"2016- 02- 01","1.865","2.055","2.056","1.846","-10.38%"
"2016- 01- 01","2.081","2.166","2.176","2.071","-4.45%"
"2015- 12- 01","2.178","2.401","2.430","2.139","-8.60%"
"2015- 11- 01","2.383","2.223","2.447","2.223","7.39%"
"2015- 10- 01","2.219","2.243","2.290","2.089","-0.22%"
"2015- 09- 01","2.224","2.480","2.494","2.217","-9.74%"
"2015- 08- 01","2.464","2.604","2.644","2.381","-5.95%"
"2015- 07- 01","2.620","2.693","2.731","2.525","-1.43%"
"2015- 06- 01","2.658","2.495","2.766","2.495","5.35%"
"2015- 05- 01","2.523","2.678","2.818","2.519","-3.48%"
"2015- 04- 01","2.614","2.364","2.643","2.237","11.05%"
"2015- 03- 01","2.354","2.497","2.600","2.344","-7.29%"
"2015- 02- 01","2.539","2.372","2.639","2.370","5.88%"
"2015- 01- 01","2.398","2.827","2.851","2.374","-14.36%"
"2014- 12- 01","2.800","2.768","3.015","2.757","0.14%"
"2014- 11- 01","2.796","2.849","3.000","2.796","-1.31%"
"2014- 10- 01","2.833","3.002","3.080","2.823","-6.10%"
"2014- 09- 01","3.017","3.187","3.293","3.015","-5.81%"
"2014- 08- 01","3.203","3.235","3.335","3.191","-0.99%"
"2014- 07- 01","3.235","3.337","3.357","3.131","-2.82%"
"2014- 06- 01","3.329","3.510","3.561","3.329","-4.59%"
"2014- 05- 01","3.489","3.710","3.712","3.466","-6.29%"
"2014- 04- 01","3.723","3.720","3.810","3.710","-0.16%"
"2014- 03- 01","3.729","3.730","3.813","3.700","0.24%"
"2014- 02- 01","3.720","3.810","3.850","3.670","-3.12%"
"2014- 01- 01","3.840","3.790","3.920","3.780","2.95%"
"2013- 12- 01","3.730","3.920","3.960","3.730","-4.11%"
"2013- 11- 01","3.890","3.630","3.910","3.620","7.16%"
"2013- 10- 01","3.630","3.630","3.780","3.560","0.55%"
"2013- 09- 01","3.610","3.740","3.940","3.580","-2.96%"
"2013- 08- 01","3.720","3.650","3.950","3.650","1.09%"
"2013- 07- 01","3.680","3.570","3.910","3.550","2.79%"
"2013- 06- 01","3.580","3.270","3.850","3.250","10.15%"
"2013- 05- 01","3.250","2.910","3.270","2.900","9.80%"
"2013- 04- 01","2.960","3.040","3.160","2.940","-0.34%"
"2013- 03- 01","2.970","3.070","3.150","2.960","-3.26%"
"2013- 02- 01","3.070","3.210","3.240","3.060","-4.36%"
"2013- 01- 01","3.210","3.310","3.350","3.090","-1.83%"
"2012- 12- 01","3.270","3.120","3.380","3.110","5.48%"
"2012- 11- 01","3.100","3.010","3.120","3.000","2.99%"
"2012- 10- 01","3.010","3.050","3.100","2.940","-0.99%"
"2012- 09- 01","3.040","3.040","3.180","3.030","-1.30%"
"2012- 08- 01","3.080","3.180","3.300","3.070","-4.35%"
"2012- 07- 01","3.220","3.600","3.950","3.060","-13.67%"
"2012- 06- 01","3.730","3.770","4.040","3.540","-1.84%"
"2012- 05- 01","3.800","3.890","3.910","3.790","-2.31%"
"2012- 04- 01","3.890","4.030","4.090","3.880","-2.99%"
"2012- 03- 01","4.010","3.950","4.150","3.930","2.30%"
"2012- 02- 01","3.920","3.910","3.950","3.900","0.26%"
"2012- 01- 01","3.910","3.990","4.010","3.910","-2.01%"
"2011- 12- 01","3.990","4.000","4.080","3.930","0.25%"
"2011- 11- 01","3.980","4.000","4.050","3.940","-1.49%"
"2011- 10- 01","4.040","4.050","4.170","3.890","-0.25%"
"2011- 09- 01","4.050","3.940","4.050","3.660","2.79%"
"2011- 08- 01","3.940","4.270","4.270","3.900","-7.51%"
"2011- 07- 01","4.260","4.440","4.500","4.230","-4.05%"
"2011- 06- 01","4.440","4.410","4.490","4.330","0.68%"
"2011- 05- 01","4.410","4.640","4.660","4.350","-4.96%"
"2011- 04- 01","4.640","4.570","4.710","4.550","0.43%"
"2011- 03- 01","4.620","4.800","4.830","4.330","-3.75%"
"2011- 02- 01","4.800","4.850","4.960","4.800","-1.03%"
"2011- 01- 01","4.850","4.680","4.910","4.680","4.98%"
"2010- 12- 01","4.620","4.580","4.800","4.490","0.43%"
"2010- 11- 01","4.600","4.610","4.820","4.570","0.22%"
"2010- 10- 01","4.590","4.400","4.660","4.150","4.08%"
"2010- 09- 01","4.410","4.590","4.700","4.390","-3.92%"
"2010- 08- 01","4.590","5.040","5.050","4.540","-9.11%"
"2010- 07- 01","5.050","5.130","5.200","5.040","-1.75%"
"2010- 06- 01","5.140","5.190","5.250","5.140","-1.15%"
"2010- 05- 01","5.200","5.070","5.290","5.060","2.77%"
"2010- 04- 01","5.060","5.130","5.230","5.030","-2.32%"
"2010- 03- 01","5.180","5.330","5.330","4.850","-3.00%"
"2010- 02- 01","5.340","5.490","5.510","5.320","-2.38%"
"2010- 01- 01","5.470","5.620","5.620","5.440","-1.97%"
"2009- 12- 01","5.580","5.460","5.630","5.420","2.01%"
"2009- 11- 01","5.470","5.530","5.640","5.450","-1.97%"
"2009- 10- 01","5.580","5.530","5.830","5.490","0.72%"
"2009- 09- 01","5.540","5.550","5.580","5.450","-0.54%"
"2009- 08- 01","5.570","5.570","5.640","5.510","0.91%"
"2009- 07- 01","5.520","5.370","5.600","5.260","1.66%"
"2009- 06- 01","5.430","5.470","5.620","5.390","0.00%"
"2009- 05- 01","5.430","5.110","5.450","5.110","8.60%"
"2009- 04- 01","5.000","5.210","5.210","4.910","-5.30%"
"2009- 03- 01","5.280","5.350","5.350","4.830","-1.12%"
"2009- 02- 01","5.340","5.260","5.670","5.260","7.44%"
"2009- 01- 01","4.970","4.680","4.970","4.670","5.52%"
"2008- 12- 01","4.710","5.660","5.660","4.710","-19.76%"
"2008- 11- 01","5.870","5.610","6.140","5.460","0.51%"
"2008- 10- 01","5.840","5.870","5.870","5.380","-2.01%"
"2008- 09- 01","5.960","6.020","6.170","5.670","0.51%"
"2008- 08- 01","5.930","5.750","6.080","5.720","1.72%"
"2008- 07- 01","5.830","5.940","6.140","5.830","-2.83%"
"2008- 06- 01","6.000","5.860","6.020","5.800","6.76%"
"2008- 05- 01","5.620","5.190","5.650","5.190","8.91%"
"2008- 04- 01","5.160","5.310","5.310","5.130","-3.73%"
"2008- 03- 01","5.360","5.220","5.510","5.220","1.52%"
"2008- 02- 01","5.280","5.280","5.370","5.250","0.19%"
"2008- 01- 01","5.270","5.780","5.960","5.270","-8.82%"
"2007- 12- 01","5.780","5.740","5.900","5.730","0.70%"
"2007- 11- 01","5.740","5.640","5.800","5.450","1.77%"
"2007- 10- 01","5.640","5.700","5.710","5.550","-1.05%"
"2007- 09- 01","5.700","5.700","5.700","5.700","1.24%"
"2007- 08- 01","5.630","5.630","5.630","5.630","3.30%"
"2007- 07- 01","5.450","5.450","5.450","5.450","-1.98%"
"2007- 06- 01","5.560","5.560","5.560","5.560","2.77%"
"2007- 05- 01","5.410","5.410","5.410","5.410","3.05%"
"2007- 04- 01","5.250","5.250","5.250","5.250","2.74%"
"2007- 03- 01","5.110","5.110","5.110","5.110","0.59%"
"2007- 02- 01","5.080","5.080","5.080","5.080","-1.17%"
"2007- 01- 01","5.140","5.140","5.140","5.140","-0.96%"
"2006- 12- 01","5.190","5.190","5.190","5.190","0.97%"
"2006- 11- 01","5.140","5.140","5.140","5.140","1.18%"
"2006- 10- 01","5.080","5.080","5.080","5.080","3.46%"
"2006- 09- 01","4.910","4.910","4.910","4.910","-3.54%"
"2006- 08- 01","5.090","5.090","5.090","5.090","-2.30%"
"2006- 07- 01","5.210","5.210","5.210","5.210","-5.96%"
"2006- 06- 01","5.540","5.540","5.540","5.540","1.28%"
"2006- 05- 01","5.470","5.470","5.470","5.470","-2.67%"
"2006- 04- 01","5.620","5.620","5.620","5.620","-0.35%"
"2006- 03- 01","5.640","5.640","5.640","5.640","2.36%"
"2006- 02- 01","5.510","5.510","5.510","5.510","-5.49%"